,0,1,2,3,4
608,"Parkplaats","place du parc","standplaats ter statie Gent s. pieters","H 5",2
609,"Parklaan","boulevard du parc","van parkplaats tot aan het park.","H 5",2
610,"Parkstraat","rue du parc","van nieuw begijnhofstraat tot oostakkerstraat.",7,1
611,"Parijsberg","montagne de Paris","van lammenstraat tot de schelde.",5,2
612,"Patijntjestraat","rue du patin","van de meerschstraat tot snepbrug, s. Pieters-Aigem.","H 5",2
613,"Pauwstraat","rue du paon","de krommestraat tusschen het het uiteinde v. haanstr. en meulesteedschensteenw.","HM 3",1
614,"Pekelharing","rue du hareng-pec","v. lindenlei tot ijperstr.",2,2
615,"Pelikaanstraat","r. du pélican","v. belgradestr. tot aabeelstr.",4,1
616,"Penitentenstraat","rue des pénitents","van kleine botermarkt tot wolvensteeg.",1,1
617,"Pensmarkt","marché aux tripes","van groenselmarkt tot hooiaard.",1,2
618,"Penssteeg","impasse aux tripes","op de hoogstraat, zonder eind.",2,2
619,"Pensstraat","rue aux tripes","van koornlei tot drapstraat.",2,2
620,"Peperstraat","rue du poivre","van hoogstraat tot burgstr.",2,3
621,"Perkamentstr.","r. du parchemin","van burgstr. tot de lei.",2,3
622,"Peterceliestraat","rue du persil","van boomstraat tot brugschensteenweg.",6,3
623,"Petroleumstraat","rue du pétrole","van toekomststraat tot scheldeboulevard",7,1
624,"Pharaïldeplaats",,"ziet veerleplaats.",,
625,"Phoenixstraat, buiten de brugschepoort","rue du phénix, faub. de Bruges","van leikaai tot brugschen steenweg.",6,3
626,"Plataanstraat","rue du platane","van plezantevest tot gasmeterlaan.",3,3
627,"Plateaustraat","rue Plateau","van nederkouter tot Sint Pietersnieuwstraat.",5,2
628,"Plattensteeger",,"maakt deel van s. salvatorstraat.",,
629,"Plaisanceboulevard",,"ziet boulevard van plaisance.",,
630,"Plezantevest","rempart de plaisance",", ziet boulevard van plaisance.",,
631,"Ploegstraat","rue de la charrue","van den meulesteedschen steenweg tusschen 160 en 162 tot ijzeren weg.","HM 3",1
632,"Plottersgracht","fossé des corroyeurs","van hertogstraat tot roodekoningstraat.",3,3
633,"Pluimstraat","rue de la plume","van tinnenpotstraat tot korte zilverstraat.",2,3
634,"Poel","place du marais","v. drapstraat tot hoogstr.",2,"2 en 3"
635,"Poelmanstraat","rue Poelman",", ziet kleine statiestraat.",,
636,"Pollepelstraat","rue de la cuiller","van savaanstraat tot bagattenstraat.",5,2
637,"Pontstraat","rue du ponton","Gentbrugge, van posthoornstraat Gentbrugge tot de schelde.",,
638,"Populierstraat","rue du peuplier","van boulevard van plaisance tot gasmeterlaan.",3,3
639,"Posthoornstraatje",,"ziet kromsteeg.",,
640,"Posthoornstraat","rue du cornet de poste","Ledeberg, van brusselschen steenweg tot brusselschen steenweg Gentbrugge.",,
641,"Posthoornstraat","rue du cornet de poste","Gentbrugge van posthoornstraat Ledeberg tot kerkstraat Gentbrugge.",,
642,"Pouillemarkt","marché aux poulets","ziet kiekenmarkt.",,
643,"Predikheerenlei","quai des dominicains","van graslei tot hoornstraat.",1,2
644,"Predikheerenstraat","rue des dominicains","van predikheerenbrug tot onderbergen.",2,2
645,"Priestersstr.","r. des prêtres","v. s. salvatorstr. tot dok.","H 3",1
646,"Priestersstraat","rue des prêtres","Gentbrugge, van hofstraat tot heidestraat.",,
647,"Prinsenhof","cour du prince","v. groot gewat tot rabotweg.",2,"3 2e prinsenhofzakstraat of hofsteeg (impasse de la cour) in ’t prinsenhof, straat zonder einde."
648,"Prinsenplaats","place du prince","van prinsenhof tot korte zilverstraat.",2,3
649,"Prinsenstraat","rue du prince","van het prinsenhof tot de rabotstraat  voortijds de 1e prinsenhofzaksteeg .",2,3
650,"Prooststraat","rue du prévôt","van s. machariusstraat tot kazemattenstraat.",7,1
651,"Proveniersstraat","rue des prébendiers","van begijnhofplaats tot begijnenstraat.",2,3
652,"Puinstraat","rue des ruines","van boulevard Lousbergs tot ossenstraat.",7,1
653,"Rabotdreef","avenue du rabot","van De Smetstraat tot turfstraat.","H 6",3
654,"Rabotstraat","rue du rabot","van begijnendries tot begijnhofboulevard.",2,3
655,"Rabotweg","passage de rabot","van prinsenhof tot begijnhofboulevard.",2,3
656,"Raffinadestraat","rue de la raffinerie","van waaistraat tot de lei, achterlei.",1,1
657,"Ram","rue du bélier","van hoogstraat tot burgstraat.",2,3
658,"Rapenstraat","rue des navets","van lange violettenstraat tot Antheunisstraat.",4,1
659,"Rasphuisstraat","rue de la maison de force","van hoogstraat tot coupure, rechter oever.",2,2
660,"Ravenstraat","rue du corbeau","van veldstraat tot de rivier, oude ajuinenlei.",1,2
661,"Recollettenlei","quai des récollets","van oude ajuinenlei tot lindenlei.",2,2
662,"Recollettenplein",,"ziet koophandelplaats.",,
663,"Reep","quai du bas-escaut","van Laurentplaats tot keizerkarelstraat.",4,1
664,"Regattendreef","avenue des régates","van ham tot dok.","H 3",1
665,"Regnessenstraat","rue des régnesses","van s. janstraat tot biezenkapelstraat.",1,2
666,"Reigerstraat","rue du héron","van ganzendriesstraat tot voskensstraat, s. Pieters-Aalst.","H 5",2
667,"Resedastraat","rue du réséda",", van brugschen steenweg tot kastanjestraat.",6,3
668,"Ridderstraat","rue des chevaliers","van baaisteeg tot spiegelstraat.",1,1
669,"Rietgrachtstraat","rue du rietgracht","van boulevard van Heirnisse tot eendrachtstraat",7,1
670,"Rietgrachtstraat","Ledeberg",", ziet Vanden Heekestraat.",,
671,"Rietstraat","rue du roseau","van de kerkstraat tot de vlotstraat.","H 6",3
672,"Ringspoorwegboulevard",,"ziet boulev. van den ijzerenweg.",,
673,"Rioolstraatje","ruelle de l'égoût","van twaalfkamersstraat tot coupure, rechter oever.",2,2
674,"Rodscheweg","chemin de Rode","Ledeberg, ziet heirweg.",,
675,"Rogierstraat","rue du roger","van s. pietersnieuwstraat tot willemtellstraat.",5,2
676,"Roode koningstraat","rue du roitelet","van oudburg tot korte kalversteeg.",3,3
677,"Roodeleeuwstr. uitkomende op den hundelg. steenweg.",,,,
678,"Roodelijvekensstraat","rue des filles-dieu ou des corsetsrouges","van slijpstraat tot chartreuzenstraat.",3,1
679,"Roodetorenkaai","quai de la tour rouge","van steendam tot kasteelkaai.",7,1
680,"Roodetorenstraat","rue de la tour rouge","van kalvermarkt tot pasbrug.",1,1
681,"Rooigemstraat","rue de Rooigem","van weversstraat tot geitestraat en peterceliestraat.",6,3
682,"Roosstraat",,"ziet paradijszak.",,
683,"Roozebroekstraat","rue Roozebroek","s. Amandsberg, van achterstraat tot Roozebroeken.",,
684,"Rozendaal",,"ziet kleine s. Gillisstraat.",,
685,"Rozendaalken","vallée aux roses","van bagattenstraat tot bloemensstraat.",5,2
686,"Roskamstraat","r. de l'étrille","v. nederpolder tot barrenstr.",1,1
687,"Rotterdamstraat","rue de Rotterdam","van meulesteedschen steenweg tot voorhavendreef","HM 3",1
688,"Rijkeklarenstraat","r. des riches-claires","in de s. Lievenstraat, is zonder einde.",4,1
689,"Rijkeklarenstraat","rue des riches-claires","Gentbrugge, van bassijnstraat tot van ooststraat.",,
690,"Saliestraat","rue de la sauge","van stoppelstraat tot twaalfkamersstraat",2,2
691,"Sasscheblindestraat","impasse du sas","in de sasschestr.","H 3",1
692,"Sasschekaai","quai du sas","van de sassluis tot de sasschepoortbrug  voormuide .","H 3",1
693,"Sasschepoortstraat",,"ziet voormuide.",,
694,"Sasschestr.","rue du sas","v. voormuide tot sasschekaai.","H 3",1
695,"Sasstraat","rue du sas","Gentbrugge, van posthoornstraat tot kerkstraat.",,
696,"Savaanstraat","rue savaen","van nederkouter tot walpoortbrugstraat.",5,2
697,"Schaapstraat","rue du Mouton","van boulevard Lousbergs tot ossenstraat.",7,1
698,"Schaliestraat","rue de l'ardoise","van de eliseeschevelden tot kwakkelstraat.","H 6",3
699,"Scheiergat","porte d'eau ou d’akkergem","van akkergemboulevard tot de lei.","H 2",2
700,"Scheldeboulevard",,"ziet boulevard der schelde.",,
701,"Scheldekant","rive de l'escaut",", ziet trekweg.",,
702,"Schepenhuisstraat","rue des échevins ou des grainiers","ziet zaadsteeg.",,
703,"Schietspoelstraat","rue de la navette",", ziet nettestraat  rue du fllet .",,
704,"Schildstraat","rue du bouclier","van groendreef tot brugschensteenweg.",6,3
705,"Schoenlappersstraat","rue des savetiers","van langemunt links, tot de rivier, kraanlei.",1,1
706,"Schokkebroedersvest","rempart des alexiens","van poel tot watergraafstraat.",2,2
707,"Schoolkaai","quai de l’école","van De Pauwbrug tot kasteelboulevard.",7,1
708,"Schoolstraat","rue de l’école","van slachthuisboulevard tot kasteelboulevard.",7,1
709,"Schoolstraat","rue de l’école","Ledeberg, van posthoornstraat tot oude brusselschen aardeweg Gentbrugge.",,
710,"Schoolstraat","rue de l’école","s. Amandsberg, van antwerpschen steenweg tot molenstraat.",,
711,"Schoolstraatje","ruelle de l'école","v. schoolkaai t. schoolstr.",7,1
712,"Schouwburgstraat","rue du théâtre","van kouter tot koophandelplaats.",1,2
713,"Schouwvagersstraat","rue des ramoneurs","van houtlei tot holstraat.",2,2
714,"Schreiboomstraat","rue de schreiboom","van kortrijkschestraat tot de lei.",5,2
715,"Schuddevischstraatje","rue de l’abri-poisson",", zonder einde, op de groenselmarkt, tusschen nrs 14 en 15.",1,2
716,"Schuur- of schuurkensstraat","rue de la grange","van stoppelbergstraat tot modenaaisteeg.",1,2
717,"Schuurstraat","rue de la grange","s. Amandsberg, van de barriere tot koersplein.",,
718,"Seminarriestraat","rue du séminaire","van regnessenstraat tot bij s. baafs.",1,2
719,"Serpentstraat, ziet wandelsteeg. S. Agneetestraat","r. s. Agnès","v. lindenlei t. wijngaardstr.",2,"2 S. Amandplaats (place s. Amand) tusschen s. pietersplein en s. amandstraat."
720,"St Genoisstraat","rue St. Genois","Gentbrugge, van brusselschen steenweg tot gontrodestraat. S. Gillisstraat  r. s. Gilles  v. slijpstr. tot s. Gillisbrug.",3,"1 S. Hubert- of Huibrechtstraat (rue s. Hubert) van s. pietersvrouwstraat tot rogierstraat."
721,"Slachthuisboulevard",,"ziet boulevard van het slachthuis.",,
722,"Slachthuisstraat","rue de l’abattoir","van het begin van den boulevard Lousbergs tot kasteelboulevard.",7,1
723,"Sluisstraat","rue de l'écluse","van het sluizeken tot krommewal.",3,1
724,"Sluizeken","place de l’écluse","van oudburg tot slijpstraat.",3,1
725,"Sluizekenskaai","quai de l'écluse","v. korte steensstraat tot sluizeken.",3,1
726,"Slijpstraat","rue des remouleurs","van sluizeken en korte steensstraat tot s salvatorstraat.",3,1
727,"Smisstraat","rue de la forge","van kortrijkschen steenweg tot ganzendriesstraat, s. Pieters-Aigem.","H 5",2
728,"Snoekstraat","rue du brochet","van toekomststraat tot Scheldeboulevard.",7,1
729,"Snoekstraat","rue du brochet","Gentbrugge, van de dorpplaats naar de hospiciestraat.",,
730,"Spaansch hospitaalsteeg","impasse de l'hôpital espagnol","op de kalvermarkt, straat zonder einde.",1,1
731,"Spaarstraat","rue de l’épargne","van plezantevest tot gasmeterlaan.",3,3
732,"Spadestraat","r. de la bêche","van de zeilstraat tot de ploegstraat","HM 3",1
733,"Spanjaardsstraat","rue des Espagnols","van prooststraat tot slachthuisstraat.",7,1
734,"Speldenstraat","rue des épingles","van garenplaats tot goudstraat.",1,1
735,"Sperrestraat","rue du sapin","van rooigemstraat tot kastanjestraat.",6,3
736,"Sperwerstraat","rue de l’épervier","van merelstraat tot kraaistraat.","H 5",2
737,"Spiegelstraat,","rue du miroir","van nederpolder tot s. Jacobsnieuwstraat.",1,1
738,"Spinnersstraat","r. des fleurs","v. rooigemstr. t. weversstr.",6,3
739,"Spijkerboorstraat","rue de la tarière","van slijpstraat tot de lei, groot meerhem.",3,3
740,"Stadhuissteeg","ruelle de l’hôtel de ville","van goudenleeuwplaats tot hoogpoort.",1,2
741,"Stalhofstraat","rue des écuries","van heuvelstraat tot opperschelde, terplaten.",5,2
742,"Statieplaats","place de la station, place ou rue du comte de Flandre","van statiestraat tot boulev. Frère-Orban.",4,1
743,"Statiesteeg",,"ziet kleine statiestraat.",,
744,"Statiestraat","rue de la station","van Van Arteveldeplaats tot Lieven Bauwensplaats.",4,1
745,"Statiestraat","rue de la station","Gentbrugge, van kerkstraat naar de hongerijstraat.",,
746,"Steendam","rue s. Georges","van bij s. Jacobs tot roodetorenkaai. s. jorisbrug.",1,1
747,"Steenhouwers- of steenkapperstraat","rue des tailleurs de pierre","Ledeberg, van nieuwestraat tot langestr.",,
748,"Sterrestraat","rue de l'étoile","van koornmarkt tot predikheerenlei aan s. michielsbrug.",1,2
749,"Sterrestraatje","petite rue de l'étoile","van kortrijkschestraat tot de lei.",5,2
750,"Steurstraat","rue de l'esturgeon","v. garenpl. tot druifsteeg",1,1
751,"Stierstraat","rue du taureau","van kasteelboulevard tot kazemattenstraat.",7,1
752,"Stofstraat","rue de la poussière","van recollettenlei tot onderbergen.",2,2
753,"Stokersstraat","r. des distillateurs","v. nieuwl. tot dok.","H 3",1
754,"Stoppelbergstraat","rue mont-au-chaume","van kleine koornmarkt tot predikheerenlei.",1,2
755,"Stoppelstraat","rue du chaume","van annonciadenstraat tot Waarschootstraat.",2,2
756,"Straat zonder einde","rue sans fin","rechterkant langemunt, zonder einde.",1,1
757,"Stropkaai","quai du strop","v. terplatenbrug tot stropbrug.",5,2
758,"Stropstraat","rue du strop","van en tot ottergemschen steenweg, s. pieters-aalst.","H 5",2
759,"Struifstraat","rue de l'omelette","van engelandgat tot bestormstraat.",2,2
760,"Stuksken","rue de la pièce","van zakkebandstraat tot koepoortkaai.",4,1
761,"Tarbotstraat","rue du turbot","tusschen de karpel- en visschersstraat.",7,1
762,"Tarwestraat","rue du froment","van molenaarstraat tot Lievegang.",3,3
763,"Tempelhof","rue des templiers","van s. Margrietestraat tot lang schipgracht.",3,3
764,"Teniersstraat","rue Teniers","van Jordaensstraat tot De Craeyerstraat.",5,2
765,"Terneuzenlaan","avenue de Terneuzen","van de sasschepoortbrug, tot meulestedebrug langs het water.","HM 3",1
766,"Terplaten","quai Terplaten","van Benardstraat langs opperschelde tot Ledeberg.",5,2
767,"Thaliestraat","r. Thalie","van zwijnaardschen steenweg tot ottergemschen steenweg, s. Pieters-Aalst.","H 5",2
768,"Theresianenstraat","rue des Thérésiennes","van holstraat tot coupure, rechter oever.",2,2
769,"Tichelrij","quai des tuileries","van korte steenstraat tot roodelijvensstraat, chartreuzenbrug.",3,1
770,"Tinkestraat","rue de la tanche","van snoekstraat tot karpelstraat.",7,1
771,"Tinnenpotstraat","rue du pot d'étain","van groot gewat tot korte zilverstraat.",2,2
772,"Toekomststraat","rue de l’avenir",", van boulevard Lousbergs tot toekomststraat, s. Amandsberg",7,1
773,"Toekomststraat","rue de l’avenir","s. Amandsberg, van toekomststraat  Gent  tot heirnisplein, s. Amandsb.",,
774,"Toevluchtstraat","rue du refuge","van regnessenstraat tot nederpolder.",1,2
775,"Tolhuiskaai",,"ziet tolkaai.",,
776,"Tolkaai","quai du péage","van tolhuisbrug tot de sluis van de sasschekaai.","H 3",1
777,"Tongstraat","rue de la sole",", tusschen de visschers- en tarbotstraat.",7,1
778,"Tooverheksstraat","rue de la sorcière","Ledeberg, van kerkstraat tot langestraat.",,
779,"Torrekensstraat","rue des tourelles",", van de rabotdreef tot Maria-Therresiaplaats.","H 6",3
780,"Trekweg","chemin de halage","Ledeberg, van hundelgemschen steenweg tot trekweg  Gentbrugge .",,
781,"Tulpstraat","rue de la Tulipe","van brugsche steenweg tot kastanjestraat.",6,3
782,"Turfsstraat","r. de la tourbe","van rabotdreef tot wilgestr.","H 6",3
783,"Turnerstraat",,"buiten de keizerpoort  ziet pontstraat.",,
784,"Twaalfkamersstraat","rue des douze chambres","van annonciadenstraat tot coupure, rechter oever.",2,2
785,"Tweebruggenstraat","rue des deux ponts","van statieplaats tot visscherij.",4,1
786,"Twijndersstraat","rue des retordeurs","van steurstraat tot ottogracht.",1,1
787,"Tijgerstraat","rue du tigre","van Benardstraat tot olifantstraat.",5,1
788,"Uilkensstraat","r. des hiboux","van zwijnaardschen steenweg tot den ijzerenweg, s. pieters-aalst.","H 5",2
789,"Universiteitstraat",,"ziet voldersstraat.",,
790,"Ursulinenstraat","rue des ursulines","van zandberg tot spiegelstraat.",1,1
791,"Vaartstraat","rue du canal","van ham tot dok.","H 3",1
792,"Valkstraat","rue du faucon","veldstraat tot de rivier, oude ajuinenlei.",1,2
793,"Van Akensstraat","rue Van Aken","van begijnhofplaats tot Verspeyenstraat.",2,3
794,"Van Arteveldeplaats","place Van Artevelde","van statiestraat tot koepoortkaai en nieuwenboschstraat.",4,1
795,"Van Caneghemstraat","rue Van Caneghem","van groenstraat tot huidevetterken.",3,1
796,"Vanden Heekestraat","rue Vanden Heeke","Ledeberg, van de langestraat tot veldstraat Gentbrugge Vanderdoncktdoorgang  passage Vanderdonckt  van brabantdam tot statiestraat en nationale galerij",4,1
797,"Vandeveldestraat","rue des frères Vandevelde","van recollettenbrug tot onderbergen.",2,2
798,"Vandeveldestraat","rue Vandevelde","Ledeberg, van hovenierstraat tot veldstraat, Gentbrugge.",,
799,"Van Duyse'splaats","place Van Duyse","tusschen Laurrens Delvauxstraat en Van Hulthemstraat.",5,2
800,"Van Eyckplaats","place van Eyck","einde van Eyckstraat tusschen mortierstraat tot koepoortkaai.",4,1
801,"Van Eyckstraat","rue Van Eyck","van keizerkarelstraat tot van Eyckplaats.",4,1
802,"Van Geertstraat","rue Van Geert","Ledeberg, van brusselschen steenweg tot posthoornstraat.",,
803,"Van Houttestraat","rue Van Houtte","Gentbrugge, van florastraat Ledeberg tot kerkstraat Gentbrugge.",,
804,"Van Hulthemstraat","rue Van Hulthem","van s. pietersvrouwstraat tot Van Duyse'splaats.",5,2
805,"Van Lokerenstraat","rue Van Lokeren","Ledeberg, van brusselschen steenweg tot vooruitgangplaats.",,
806,"Van Monckhovenstraat","rue Van Monckhoven","van kortrijkschestraat tot smisstraat.","H 5",2
807,"Van Ooststraat","rue Van Oost","Gentbrugge, van kerkstraat tot bassijnplaats Van Vaernewyckstraat  rue Van Vaernewyck  van Frans Ackermanstraat tot Van Eyckplaats en koepoortkaai.",4,1
808,"Van Wittemberghestraat","rue Van Wittemberghe","van verspeyenstraat tot begijnhofboulevard.",2,3
809,"Veerdamstraat of drongenhof","rue du bac","van oudburg tot langesteensstraat.",3,3
810,"Veergrepstraat","passage du ruisseau","van kortrijkschestraat tot de lei.",5,2
811,"Veerkaai","quai du ponton","van veerstraat tot Van Eyckplaats.",4,1
812,"Veerleplaats","place ste Pharaïlde","van kraanlei tot hoogezonnestraat",3,3
813,"Veerstraat","rue du ponton","van keizerkarelstraat tot veerkaai.",4,1
814,"Veldstraat","rue des champs","van koornmarkt tot koophandelplaats.",1,2
815,"Veldstraat","rue des champs","Gentbrugge, van moriaanstraat, Ledeberg, tot Vandenheckestraat, Ledeberg.",,
816,"Verbindingstraat","rue du raccordement","van plezantevest tot gasmeterlaan.","H 6",3
817,"Verbindingstraat","rue du raccordement","s. Amandsberg van molenstraat tot koningstraat.",,
818,"Verdedigingstraat","rue de la défensse","van Van Duyse'splaats tot kortrijkschestraat.",5,2
819,"Verkensstraat","rue des cochons","van pluimstraat tot korte zilverstraat.",2,3
820,"Verkortingstraat",,"van Gentstr. tot antwerpschen steenw. s. Amandsberg.",,
821,"Verlorenbroodstraat","rue du pain-perdu","van nederkouter tot coupure, linker oever.",5,2
822,"Verspeyenstraat","rue Verspeyen","van rabotstraat tot begijnhofboulevard.",2,3
823,"Vinkstraat","rue du pinson","van den kortrijkschen steenweg tot de ganzendriesstraat.","H 5",2
824,"Violettenlei","quai des violettes","van houtlei tot annonciadenstraat.",2,2
825,"Violettenstraat","lange","rue longue des violettes  Van Arteveldeplaats tot vijfwindgatbrug.",4,1
826,"Visscherij","quai de la pêcherie","van tusschen de pas¬ en roodetorenbrug tot de Willembrug.",7,1
827,"Visschersstraat","rue des pêcheurs","van karpelstraat tot boulevard Lousbergs.",7,1
828,"Vlaanderenstraat","rue de Flandre","van Laurentplaats tot statieplaats.",4,1
829,"Vlasmarkt","marché au lin","van bij s. Jacobs tot s. Jacobsnieuwstraat.",1,1
830,"Vlasstraat","rue au lin","van leistraat tot kroonstraat.",6,3
831,"Vlierstraat","r. du sureau","van zwijnaardschen steenweg tot de bommelstraat.","H 5",2
832,"Vlotstraat","rue du radeau","van Maria-Theresiaplaats tot turfstraat","H 6",3
833,"Voetweg","rue du sentier","v. muinkbrugstr. tot heuvelstr.",5,2
834,"Vogelhoek","rue vogelhoek","Gentbrugge, van brusselschen steenweg tot gontrodestraat.",,
835,"Vogelmarkt","marché aux oiseaux","van brabantstraat tot kouter.",1,2
836,"Vogelenzangkaai","quai du ramage","van molenaarsstraat tot geuzenberg",3,3
837,"Voldersstraat","rue des foulons. des jésuites ou de l'université","van kalanderstraat tot veldstraat.",1,2
838,"Volmolenstraat","rue du moulin à foulon","van roode torenstraat tot nieuwbrugkaai.",1,1
839,"Voordries","avant-pré","Gentbrugge, van leemstraat tot boschstraat.",,
840,"Voorhavendreef","avenue de l’avant-port","v. meulesteedschesteenweg langsheen de omheining der voorhaven tot meulesteedekaai","HM 3",1
841,"Voorhavenplaats","place de l’avant-port tusschen de New-Yorkstraat en voorhavendreef.",,"HM 3",1
842,"Voormuide","rue voormuide ou de la porte du sas","van s. salvatorstraat tot muidebrug.","H 3",1
843,"Vooruitgangplaats","place du progrès","Ledeberg, voor de kerk.",,
844,"Vorkstraat","rue de la fourche","van meulesteedschen steenweg tot in de weiden der achtermuide.","HM 3",1
845,"Vossestraat","rue du renard","van brugschen steenweg tot rooigemstraat.",6,3
846,"Voskensstraat","rue des renardeaux","van ganzendriesstr. tot maltebrugstraat, s. Pieters-Aigem.","H 5",2
847,"Vredestraat","rue de la paix","van wollestraat tot zondernaamstraat.","H 3",1
848,"Vredestraat","rue de la paix","Ledeberg, van Van de Veldestraat tot rietgrachtstraat Vrouwmattenstraat  rue des garde-couches  van onderbergen tot engelandgat.",2,2
849,"Vrijdagmarkt","marché du vendredi","van groot kannonplaats tot oude vlasmarkt.",1,1
850,"Vrijheidstraat",,"ziet oranjeberg.",,
851,"Vijfwindgatstraat","rue des cinq vannes ou cinq vents","van lange violettenstraat tot boulev. Frère-Orban.",4,1
852,"Waaistraat","rue aux vents","v. vrijdagmarkt tot garenpl.",1,1
853,"Waarschootstraat","rue Waarschoot","van ijperstraat tot stoppelstraat.",2,2
854,"Waldamkaai","quai du waldam","van contributiebrug tot noordstraat","H 6",2
855,"Walpoortbrugstraat","rue du pont-madou","van kortedagsteeg tot s. pietersnieuwstraat.",5,2
856,"Wandelsteeg","rue de la promenade ou du serpent","van onderstraat tot kammerstraat.",1,1
857,"Wasstraat","rue de la cire","van biestraat tot Oostakkerstr.",7,1
858,"Waterstraatje","ruelle de l'eau","op s. pietersnieuwstraat, eerste straat zonder einde, links.",5,2
859,"Waterpoort",,"ziet scheiergat.",,
860,"Wattergraafsstraat","rue watergrave","van s. Michielstraat tot engelandgat.",2,2
861,"Weidestraat","rue du pâturage","van antwerpschen steenweg tot weldadigheidstraat.",7,1
862,"Weldadigheidstraat, dampoort","rue de la bienfaisance","van kogelstraat tot weldadigheidstr., s. Amandsberg.",7,1
863,"Weldadigheidstraat","rue de la bienfaisance","Ledeberg, van hundelgemschen steenweg tot mooriaanstraat.",,
864,"Weldadigheidstr.","rue de la bienfaisance","s. Amandsberg, van de weldadigheidstraat, Gent, tot meerschstraat.",,
865,"Wellinckstraat","rue Wellinck","van houtlei tot holstraat.",2,2
866,"Werkhuisstraat","rue de l'atelier","van drongenscheweg tot leikaai.",6,3
867,"Werregarenstraat","rue du fil-tors","van hoogpoort tot onderstraat.",1,"1 weversstraat (rue des tisserands) van brugschen steenweg tot rooigemstraat."
868,"Wilderoosstraat","rue de l’églantine","van onderbergen tot engelandgat.",2,2
869,"Wilgestraat","rue du saule","van wondelgemstraat tot turfstraat.","H 6",3
870,"Willemsstraat","rue Willems","van citadelboulevard tot stalhofsstraat.",5,2
871,"Willem-Tellstraat","rue Guillaume-Tell","van bagattenstraat tot s. pietersvrouwstraat.",5,2
872,"Windmolenstraat","r. du moulin à vent","van meulesteedschen steenweg tot spadestraat.","HM 3",1
873,"Winkelstraat","rue des boutiques","van vlaanderenstraat tot lange boomgaardstraat.",4,1
874,"Wollestraat","rue aux laines","v. dampoortstr. tot dok.","H 3",1
875,"Wolvensteeg","r. aux loups","v. vrijdagm. tot baudeloolei.",1,1
876,"Wondelgemstraat","rue de Wondelgem","van rabotlaan tot gasmeterlaan.","H 6",3
877,"Wijngaardstraat","rue de la vigne","van pekelharing tot ijperstraat.",2,"2 IJkersstraat (rue des jaugeurs) v. s. jansdreef tot nieuwpoort."
878,"Zaadsteeg","r. des grainiers","v. hoogpoort tot onderstraat.",1,1
879,"Zaaimansstraat","rue des semeurs","van s. margrietestraat tot korte schipgracht.",3,3
880,"Zagermansstraat","rue des scieurs","van kortedagsteeg tot s. jansvest.",1,2
881,"Zakkebandstraat","rue aux liens","van koepoortkaai tot stuksken.",4,1
882,"Zakstraat","rue du Sac","Gentbrugge, van Van Ooststraat en is zonder einde.",,
883,"Zalmstraat","rue du saumon","van toekomtstraat tot scheldeboulevard.",7,1
884,"Zandberg","place du sablon","van einde hoogpoort tot koningstraat.",1,1
885,"Zandstraat","rue du sable","van kleistraat tot zwijnaardschen steenweg.","H 5",2
886,"Zeemstraat","rue du miel","van Oostakkerstraat tot biestraat.",7,1
887,"Zegepraalstraat","rue de la victoire","van rabotlaan tot Wondelgemstraat.","H 6",3
888,"Zeilstraat","rue de la voille","van meulesteedschen steenweg tusschen nrs 72 en 74 tot spadestraat.","HM 3",1
889,"Zeugesteeg","r. aux truies","v. plottersgracht tot geldmunt",3,3
890,"Zilverstraat","rue d'argent","van oude beestenmarkt tot kalvermarkt.",1,1
891,"Zomerstraat",,"ziet De Somerstraat.",,
892,"Zonder eindestraat",,"ziet straat zonder einde.",,
893,"Zondernaamstraat","rue des sans-nom","van metsersstraat tot kasteelbrugstraat.","H 3",1
894,"Zonnestraat","r. du soleil","v. kouter tot koophandelplaats",1,2
895,"Zoutstraat","rue du sel","van nederkouter tot de lei.",5,2
896,"Zuidkaai, b. de brugschepoort","quai du sud, faubourg de Bruges","van phenixstraat tot groendreef.",6,3
897,"Zuidstraat","rue du sud","Ledeberg, van vooruitgangplaats links tot langestraat.",,
898,"Zuivelsteeg","rue du laitage","van zuivelbrug tot vrijdagmarkt.",1,1
899,"Zuivelbrugstraat","rue du pont du laitage","van zuivelbrug tot oudburg.",3,1
900,"Zwaanstraat","rue du cygne","v. oudburg tot k. kalversteeg.",3,3
901,"Zwaardsteeg","impasse du glaive","van brabantdam tot de schelde.",4,1
902,"Zwaluwensstraat","rue des hirondelles","van rooigemstraat tot leikaai.",6,3
903,"Zwarte Heirestraat Gentbrugge",,"van brusselschen steenweg tot hundelgemschen steenweg Meirelbeke.",,
904,"Zwartezustersstraat","r. des soeurs-noires ou des charretiers","van onderbergen tot struifsteeg.",2,2
905,"Zwijnaardschen steenweg","chaussée de Zwijnaarde","van normaalschoolstr. tot Zwijnaarde, s. Pieters-Aalst.","H 5","2 BRUGGEN."
906,"Aardewegbrug","pont du chemin de terre",", op de noordkaai. buiten de brugschepoort.",,
907,"Academiebrug","pont de l’académie",", tusschen de academiestraat en de lievekaai.",,
908,"Antwerpschepoortbrug","pont de la porte d'Anvers",", tusschen de dampoortstraat en den antwerpschen steenweg.",,
909,"Appelbrug","pont aux pommes",", tusschen de appelbrugstraat en de breidelsteeg.",,
910,"Bargiebrug","pont de la barge",", tusschen de noordkaai en de phoenixstraat, brugschepoort.",,
911,"Berouwbrug","pont du repentir",", in de berouwstraat.",,
